year,population,rgdpcap
1270,4.36,805.92
1271,4.37,796.3
1272,4.38,824.89
1273,4.39,776.85
1274,4.39,772.75
1275,4.4,881.91
1276,4.41,774.9
1277,4.41,826.16
1278,4.42,855.21
1279,4.43,708.72
1280,4.46,715.38
1281,4.48,755.87
1282,4.51,729.02
1283,4.54,689.13
1284,4.57,708.6
1285,4.6,713.42
1286,4.63,699.3
1287,4.66,761.1
1288,4.69,733.68
1289,4.72,673.11
1290,4.75,678.76
1291,4.75,680.43
1292,4.75,716.97
1293,4.74,734.25
1294,4.74,729.08
1295,4.74,781.18
1296,4.74,812.81
1297,4.73,778.1
1298,4.73,818.85
1299,4.73,788.98
1300,4.73,783.94
1301,4.72,789.85
1302,4.72,810.67
1303,4.72,844.7
1304,4.72,764.49
1305,4.71,786.07
1306,4.71,763.76
1307,4.71,801.01
1308,4.71,810.83
1309,4.7,831.24
1310,4.7,820.58
1311,4.7,849.87
1312,4.7,827.77
1313,4.69,842.88
1314,4.69,843.52
1315,4.69,758.29
1316,4.63,725.14
1317,4.57,768.49
1318,4.51,859.01
1319,4.45,873.95
1320,4.39,856.31
1321,4.34,733.61
1322,4.28,782.07
1323,4.22,821.89
1324,4.17,758.61
1325,4.12,831.72
1326,4.14,841.8
1327,4.17,826.76
1328,4.2,767.36
1329,4.23,806.63
1330,4.26,785.04
1331,4.29,747.68
1332,4.32,786.39
1333,4.35,809.34
1334,4.38,782.08
1335,4.41,748.79
1336,4.44,783.66
1337,4.47,867.9
1338,4.5,884.09
1339,4.53,721.09
1340,4.56,807.29
1341,4.59,815.09
1342,4.62,852.59
1343,4.65,828.26
1344,4.68,883.8
1345,4.72,822.5
1346,4.75,780.97
1347,4.78,810.95
1348,4.81,830.98
1349,3.92,780.62
1350,3.2,889
1351,2.6,1026.99
1352,2.6,1064.66
1353,2.6,1067.86
1354,2.59,1022.79
1355,2.59,1054.14
1356,2.58,1039.81
1357,2.58,1059.54
1358,2.58,1065.06
1359,2.57,1076.68
1360,2.57,1069.49
1361,2.56,1032
1362,2.56,1004.95
1363,2.56,975.71
1364,2.55,1084
1365,2.55,1035.75
1366,2.54,1067.05
1367,2.54,1001.39
1368,2.54,994.53
1369,2.53,928.68
1370,2.53,1040.67
1371,2.52,1007
1372,2.52,910.84
1373,2.52,986.25
1374,2.51,907.1
1375,2.51,874.88
1376,2.5,1011.18
1377,2.5,1041.01
1378,2.48,1030.04
1379,2.46,945.76
1380,2.44,988.83
1381,2.42,1014.76
1382,2.4,1050.09
1383,2.38,1003.99
1384,2.36,1136.2
